Date,D0,Value
1972-01,SARON,
1972-01,1TGT,0.0
1972-01,EG3M,
1972-01,1M,
1972-01,3M0,
1972-01,6M,
1972-01,12M,
1972-01,3M1,
1972-01,3M2,
1972-01,3M3,
1972-01,3M4,
1972-02,SARON,
1972-02,1TGT,0.0
1972-02,EG3M,
1972-02,1M,
1972-02,3M0,
1972-02,6M,
1972-02,12M,
1972-02,3M1,
1972-02,3M2,
1972-02,3M3,
1972-02,3M4,
1972-03,SARON,
1972-03,1TGT,0.125
1972-03,EG3M,
1972-03,1M,
1972-03,3M0,
1972-03,6M,
1972-03,12M,
1972-03,3M1,
1972-03,3M2,
1972-03,3M3,
1972-03,3M4,
1972-04,SARON,
1972-04,1TGT,0.25
1972-04,EG3M,
1972-04,1M,
1972-04,3M0,
1972-04,6M,
1972-04,12M,
1972-04,3M1,
1972-04,3M2,
1972-04,3M3,
1972-04,3M4,
1972-05,SARON,
1972-05,1TGT,1.5
1972-05,EG3M,
1972-05,1M,
1972-05,3M0,
1972-05,6M,
1972-05,12M,
1972-05,3M1,
1972-05,3M2,
1972-05,3M3,
1972-05,3M4,
1972-06,SARON,
1972-06,1TGT,1.625
1972-06,EG3M,
1972-06,1M,
1972-06,3M0,
1972-06,6M,
1972-06,12M,
1972-06,3M1,
1972-06,3M2,
1972-06,3M3,
1972-06,3M4,
1972-07,SARON,
1972-07,1TGT,0.0
1972-07,EG3M,
1972-07,1M,
1972-07,3M0,
1972-07,6M,
1972-07,12M,
1972-07,3M1,
1972-07,3M2,
1972-07,3M3,
1972-07,3M4,
1972-08,SARON,
1972-08,1TGT,0.0
1972-08,EG3M,
1972-08,1M,
1972-08,3M0,
1972-08,6M,
1972-08,12M,
1972-08,3M1,
1972-08,3M2,
1972-08,3M3,
1972-08,3M4,
1972-09,SARON,
1972-09,1TGT,0.5
1972-09,EG3M,
1972-09,1M,
1972-09,3M0,
1972-09,6M,
1972-09,12M,
1972-09,3M1,
1972-09,3M2,
1972-09,3M3,
1972-09,3M4,
1972-10,SARON,
1972-10,1TGT,1.5
1972-10,EG3M,
1972-10,1M,
1972-10,3M0,
1972-10,6M,
1972-10,12M,
1972-10,3M1,
1972-10,3M2,
1972-10,3M3,
1972-10,3M4,
1972-11,SARON,
1972-11,1TGT,4.25
1972-11,EG3M,
1972-11,1M,
1972-11,3M0,
1972-11,6M,
1972-11,12M,
1972-11,3M1,
1972-11,3M2,
1972-11,3M3,
1972-11,3M4,
1972-12,SARON,
1972-12,1TGT,4.5
1972-12,EG3M,
1972-12,1M,
1972-12,3M0,
1972-12,6M,
1972-12,12M,
1972-12,3M1,
1972-12,3M2,
1972-12,3M3,
1972-12,3M4,
1973-01,SARON,
1973-01,1TGT,2.25
1973-01,EG3M,
1973-01,1M,
1973-01,3M0,
1973-01,6M,
1973-01,12M,
1973-01,3M1,
1973-01,3M2,
1973-01,3M3,
1973-01,3M4,
1973-02,SARON,
1973-02,1TGT,4.5
1973-02,EG3M,
1973-02,1M,
1973-02,3M0,
1973-02,6M,
1973-02,12M,
1973-02,3M1,
1973-02,3M2,
1973-02,3M3,
1973-02,3M4,
1973-03,SARON,
1973-03,1TGT,2.0
1973-03,EG3M,
1973-03,1M,
1973-03,3M0,
1973-03,6M,
1973-03,12M,
1973-03,3M1,
1973-03,3M2,
1973-03,3M3,
1973-03,3M4,
1973-04,SARON,
1973-04,1TGT,0.875
1973-04,EG3M,
1973-04,1M,
1973-04,3M0,
1973-04,6M,
1973-04,12M,
1973-04,3M1,
1973-04,3M2,
1973-04,3M3,
1973-04,3M4,
1973-05,SARON,
1973-05,1TGT,0.0
1973-05,EG3M,
1973-05,1M,
1973-05,3M0,
1973-05,6M,
1973-05,12M,
1973-05,3M1,
1973-05,3M2,
1973-05,3M3,
1973-05,3M4,
1973-06,SARON,
1973-06,1TGT,15.5
1973-06,EG3M,
1973-06,1M,
1973-06,3M0,
1973-06,6M,
1973-06,12M,
1973-06,3M1,
1973-06,3M2,
1973-06,3M3,
1973-06,3M4,
1973-07,SARON,
1973-07,1TGT,2.0
1973-07,EG3M,
1973-07,1M,
1973-07,3M0,
1973-07,6M,
1973-07,12M,
1973-07,3M1,
1973-07,3M2,
1973-07,3M3,
1973-07,3M4,
1973-08,SARON,
1973-08,1TGT,1.0
1973-08,EG3M,
1973-08,1M,
1973-08,3M0,
1973-08,6M,
1973-08,12M,
1973-08,3M1,
1973-08,3M2,
1973-08,3M3,
1973-08,3M4,
1973-09,SARON,
1973-09,1TGT,1.0
1973-09,EG3M,
1973-09,1M,
1973-09,3M0,
1973-09,6M,
1973-09,12M,
1973-09,3M1,
1973-09,3M2,
1973-09,3M3,
1973-09,3M4,
1973-10,SARON,
1973-10,1TGT,4.0
1973-10,EG3M,
1973-10,1M,
1973-10,3M0,
1973-10,6M,
1973-10,12M,
1973-10,3M1,
1973-10,3M2,
1973-10,3M3,
1973-10,3M4,
1973-11,SARON,
1973-11,1TGT,8.5
1973-11,EG3M,
1973-11,1M,
1973-11,3M0,
1973-11,6M,
1973-11,12M,
1973-11,3M1,
1973-11,3M2,
1973-11,3M3,
1973-11,3M4,
1973-12,SARON,
1973-12,1TGT,2.5
1973-12,EG3M,
1973-12,1M,
1973-12,3M0,
1973-12,6M,
1973-12,12M,
1973-12,3M1,
1973-12,3M2,
1973-12,3M3,
1973-12,3M4,
1974-01,SARON,
1974-01,1TGT,3.25
1974-01,EG3M,
1974-01,1M,
1974-01,3M0,
1974-01,6M,
1974-01,12M,
1974-01,3M1,
1974-01,3M2,
1974-01,3M3,
1974-01,3M4,
1974-02,SARON,
1974-02,1TGT,5.0
